movie,imdb name,imdb id
Coco Chanel (2008),Coco Chanel (2008) (TV),1094661
Leo the Last (1970),Leo the Last (1970),0065974
Kate Plays Christine (2016),Kate Plays Christine (2016),5278592
Enemy (2013),Enemy (2013),2316411
Little Big League (1994),Little Big League (1994),0110363
The Gumball Rally (1976),"Gumball Rally, The (1976)",0074597
Life After Beth (2014),Life After Beth (2014),2581244
Turner & Hooch (1989),Turner & Hooch (1989),0098536
Dracula (1979),Dracula (1979),0079073
The Warriors (1979),"Warriors, The (1979)",0080120
The Gambler (1974),"Gambler, The (1974)",0071532
Phenomenon (1996),Phenomenon (1996),0117333
Surrogates (2009),Surrogates (2009),0986263
A Nightmare On Elm Street (1984),"Nightmare on Elm Street, A (1984)",0087800
Getting Straight (1970),Getting Straight (1970),0065775
Deep Impact (1998),Deep Impact (1998),0120647
Showgirls (1995),Showgirls (1995),0114436
Red Eye (2005),Red Eye (2005),0421239
"Truman Show, The (1998)","Truman Show, The (1998)",0120382
RoboCop (1987),RoboCop (1987),0093870
Godspell (1973),Godspell (1973),0070121
Olympus Has Fallen (2013),Olympus Has Fallen (2013),2302755
Oblivion (2013),Oblivion (I) (2013),1483013
Shriek If You Know What I Did Last Friday the Thirteenth (2000),Shriek If You Know What I Did Last Friday the Thirteenth (2000) (V),0212235
Borderline (1980),Borderline (1980),0080465
The Parallax View (1974),"Parallax View, The (1974)",0071970
Liberty Stands Still (2002),Liberty Stands Still (2002),0280870
Dredd (2012),Dredd (2012),1343727
Alien vs. Predator (2004),AVP: Alien vs. Predator (2004),0370263
The Illusionist (2006),"Illusionist, The (2006)",0443543
Zodiac (2007),Zodiac (2007),0443706
Flightplan (2005),Flightplan (2005),0408790
Unfriended (2014),Unfriended (2014),3713166
Tombstone (1993),Tombstone (1993),0108358
End of Days (1999),End of Days (1999),0146675
Capote (2005),Capote (2005),0379725
GoBots: Battle of the Rock Lords (1986),GoBots: Battle of the Rock Lords (1986),0091123
The River (1984),"River, The (1984)",0088007
First Blood (1982),First Blood (1982),0083944
