query;expected
Jezebel (1938);Gone with the Wind (1939)
Young Mr. Lincoln (1939);Abe Lincoln in Illinois (1940)
Oscar Wilde (1960);The Trials of Oscar Wilde (1960)
Dr. Strangelove (1964);Fail-Safe (1964)
Harlow (1965);Harlow (1965)
You're a Big Boy Now (1966);The Graduate (1967)
Leo the Last (1970);The Landlord (1970)
The Strawberry Statement (1970);Getting Straight (1970)
Bloody Mama (1970);The Grissom Gang (1971)
Sweet Sweetback's Baadasssss Song (1971);Shaft (1971)
Godspell (1973);Jesus Christ Superstar (1973)
The Gambler (1974);California Split (1974)
The Conversation (1974);The Parallax View (1974)
Cannonball (1976);The Gumball Rally (1976)
Go Tell the Spartans (1978);Coming Home (1978)
The Warriors (1979);The Wanderers (1979)
Border Cop (1979);Borderline (1980)
Nosferatu the Vampyre (1979);Dracula (1979)
The Howling (1981);Wolfen (1981)
Porky's (1981);The Last American Virgin (1982)
Some Kind of Hero (1982);First Blood (1982)
Carmen (1983);Carmen (1984)
Country (1984);The River (1984)
Dreamscape (1984);A Nightmare On Elm Street (1984)
Gremlins (1984);Ghoulies (1984)
The Return of the Living Dead (1985);Day of the Dead (1985)
Weird Science (1985);Real Genius (1985)
Back to the Future (1985);Peggy Sue Got Married (1986)
Fright Night (1985);Vamp (1986)
Top Gun (1986);Iron Eagle (1986)
An American Tail (1986);The Great Mouse Detective (1986)
GoBots: Battle of the Rock Lords (1986);The Transformers: The Movie (1986)
The Vindicator (1986);RoboCop (1987)
The Secret of My Succe$s (1987);Working Girl (1988)
Like Father, Like Son (1987);Big (1988)
Dangerous Liaisons (1988);Valmont (1989)
Turner & Hooch (1989);K-9 (1989)
DeepStar Six (1989);Leviathan (1989)
Robin Hood: Prince of Thieves (1991);Robin Hood (1991)
1492: Conquest of Paradise (1992);Christopher Columbus: The Discovery (1992)
Jurassic Park (1993);Carnosaur (1993)
Tombstone (1993);Wyatt Earp (1994)
Rookie of the Year (1993);Little Big League (1994)
Terminal Velocity (1994);Drop Zone (1994)
The Adventures of Priscilla, Queen of the Desert (1994);To Wong Foo, Thanks for Everything! Julie Newmar (1995)
Braveheart (1995);Rob Roy (1995)
Babe (1995);Gordy (1995)
Showgirls (1995);Striptease (1996)
Powder (1995);Phenomenon (1996)
Dante's Peak (1997);Volcano (1997)
Kundun (1997);Seven Years in Tibet (1997)
Prefontaine (1997);Without Limits (1998)
Antz (1998);A Bug's Life (1998)
Deep Impact (1998);Armageddon (1998)
Saving Private Ryan (1998);The Thin Red Line (1998)
Truman Show, The (1998);Ed TV (1999)
Tale of the Mummy (1998);The Mummy (1999)
Dark City (1998);The Matrix (1999)
Entrapment (1999);The Thomas Crown Affair (1999)
End of Days (1999);Stigmata (1999)
The Legend of the Titanic (1999);Titanic: The Legend Goes On (2000)
The Road to El Dorado (2000);The Emperor's New Groove (2000)
Scary Movie (2000);Shriek If You Know What I Did Last Friday the Thirteenth (2000)
Mission to Mars (2000);Red Planet (2000)
Wonder Boys (2000);Finding Forrester (2000)
Gone in 60 Seconds (2000);The Fast and the Furious (2001)
Heist (2001);The Score (2001)
Joe Dirt (2001);Run Ronnie Run! (2002)
Stealing Harvard (2002);Orange County (2002)
Liberty Stands Still (2002);Phone Booth (2002)
Finding Nemo (2003);Shark Tale (2004)
Freddy vs. Jason (2003);Alien vs. Predator (2004)
Chasing Liberty (2004);First Daughter (2004)
The Cave (2005);Descent, The (2005)
Flightplan (2005);Red Eye (2005)
Madagascar (2005);The Wild (2006)
Capote (2005);Infamous (2006)
United 93 (2006);Flight 93 (2006)
The Prestige (2006);The Illusionist (2006)
The Zodiac (2005);Zodiac (2007)
Coco Chanel (2008);Coco Before Chanel (2009)
Observe and Report (2009);Paul Blart: Mall Cop (2009)
Gamer (2009);Surrogates (2009)
The Road (2009);The Book of Eli (2010)
Despicable Me (2010);Megamind (2010)
Skyline (2010);Battle: Los Angeles (2011)
No Strings Attached (2011);Friends with Benefits (2011)
The Raid (2011);Dredd (2012)
Extraterrestrial (2011);Seeking a Friend for the End of the World (2012)
The Other Son (2012);Soshite chichi ni naru (2013)
Mirror Mirror (2012);Snow White and the Huntsman (2012)
Battleship (2012);Pacific Rim (2013)
Upside Down (2012);Patema Inverted (2013)
Quartet (2012);A Late Quartet (2012)
A Hijacking (2012);Captain Phillips (2013)
The Girl (2012);Hitchcock (2012)
Jobs (2013);Steve Jobs (2015)
Olympus Has Fallen (2013);White House Down (2013)
Oblivion (2013);After Earth (2013)
The Machine (2013);Automata (2014)
This Is the End (2013);The World's End (2013)
The Double (2013);Enemy (2013)
Yves Saint Laurent (2014);Saint Laurent (2014)
Hercules (2014);The Legend of Hercules (2014)
The Equalizer (2014);John Wick (2014)
Life After Beth (2014);Burying the Ex (2014)
Unfriended (2014);Friend Request (2016)
Freaks of Nature (2015);Scouts Guide to the Zombie Apocalypse (2015)
Marguerite (2015);Florence Foster Jenkins (2016)
Christine (2016);Kate Plays Christine (2016)
Batman v Superman: Dawn of Justice (2016);Captain America: Civil War (2016)
